"scientific_name","family","gbif_records"
"Turdus cardis Temminck, 1831","Turdidae","150"
"Spatula clypeata (Linnaeus, 1758)","Anatidae","150"
"Mareca strepera (Linnaeus, 1758)","Anatidae","149"
"Alauda gulgula Franklin, 1831","Alaudidae","145"
"Ixobrychus sinensis (Gmelin, 1789)","Ardeidae","144"
"Phylloscopus tenellipes Swinhoe, 1860","Phylloscopidae","143"
"Calidris alpina (Linnaeus, 1758)","Scolopacidae","143"
"Pterorhinus perspicillatus (J.F.Gmelin, 1789)","Leiothrichidae","142"
"Charadrius dubius Scopoli, 1786","Charadriidae","141"
"Saxicola stejnegeri (Parrot, 1908)","Muscicapidae","140"
"Cecropis daurica (Laxmann, 1769)","Hirundinidae","136"
"Tringa glareola Linnaeus, 1758","Scolopacidae","134"
"Platalea leucorodia Linnaeus, 1758","Threskiornithidae","132"
"Circus spilonotus Kaup, 1847","Accipitridae","130"
"Himantopus himantopus (Linnaeus, 1758)","Recurvirostridae","129"
"Emberiza cioides J.F.Brandt, 1843","Emberizidae","128"
"Eurystomus orientalis (Linnaeus, 1766)","Coraciidae","126"
"Larvivora sibilans Swinhoe, 1863","Muscicapidae","125"
"Aythya ferina (Linnaeus, 1758)","Anatidae","124"
"Aix galericulata (Linnaeus, 1758)","Anatidae","124"
"Ficedula zanthopygia (Hay, 1845)","Muscicapidae","123"
"Emberiza pallasi (Cabanis, 1851)","Emberizidae","122"
"Acrocephalus orientalis (Temminck & Schlegel, 1847)","Acrocephalidae","117"
"Mareca penelope (Linnaeus, 1758)","Anatidae","116"
"Chlidonias hybrida (Pallas, 1811)","Laridae","112"
"Grus monacha Temminck, 1835","Gruidae","112"
"Platalea minor Temminck & Schlegel, 1849","Threskiornithidae","112"
"Aythya fuligula (Linnaeus, 1758)","Anatidae","111"
"Emberiza fucata Pallas, 1776","Emberizidae","110"
"Tringa stagnatilis (Bechstein, 1803)","Scolopacidae","108"
"Circus cyaneus (Linnaeus, 1766)","Accipitridae","106"
"Bombycilla japonica (Siebold, 1824)","Bombycillidae","103"
"Anthus richardi Vieillot, 1818","Motacillidae","100"
"Anas acuta Linnaeus, 1758","Anatidae","99"
"Calidris ruficollis (Pallas, 1776)","Scolopacidae","97"
"Ficedula narcissina (Temminck, 1836)","Muscicapidae","96"
"Corvus macrorhynchos Wagler, 1827","Corvidae","96"
"Cygnus atratus (Latham, 1790)","Anatidae","95"
"Elanus caeruleus (Desfontaines, 1789)","Accipitridae","95"
"Grus grus (Linnaeus, 1758)","Gruidae","94"
"Vanellus cinereus (Blyth, 1842)","Charadriidae","93"
"Picumnus innominatus Burton, 1836","Picidae","93"
"Cuculus canorus Linnaeus, 1758","Cuculidae","92"
"Abroscopus albogularis (Moore, 1854)","Cettiidae","91"
"Pterorhinus sannio (Swinhoe, 1867)","Leiothrichidae","91"
"Ardea purpurea Linnaeus, 1766","Ardeidae","89"
"Lanius bucephalus Temminck & Schlegel, 1845","Laniidae","89"
"Butorides striata (Linnaeus, 1758)","Ardeidae","85"
"Recurvirostra avosetta Linnaeus, 1758","Recurvirostridae","85"
"Dicrurus macrocercus Vieillot, 1817","Dicruridae","84"
"Sterna hirundo Linnaeus, 1758","Laridae","83"
"Pandion haliaetus (Linnaeus, 1758)","Pandionidae","82"
"Botaurus stellaris (Linnaeus, 1758)","Ardeidae","80"
"Larus fuscus Linnaeus, 1758","Laridae","80"
"Coccothraustes coccothraustes (Linnaeus, 1758)","Fringillidae","80"
"Eophona personata (Temminck & Schlegel, 1848)","Fringillidae","79"
"Phylloscopus fuscatus (Blyth, 1842)","Phylloscopidae","76"
"Numenius arquata (Linnaeus, 1758)","Scolopacidae","76"
"Coturnix japonica Temminck & Schlegel, 1848","Phasianidae","73"
"Numenius phaeopus (Linnaeus, 1758)","Scolopacidae","73"
"Anthus cervinus (Pallas, 1811)","Motacillidae","72"
"Tringa totanus (Linnaeus, 1758)","Scolopacidae","70"
"Limosa limosa (Linnaeus, 1758)","Scolopacidae","69"
"Hydrophasianus chirurgus (Scopoli, 1786)","Jacanidae","67"
"Gavia arctica (Linnaeus, 1758)","Gaviidae","67"
"Spizixos semitorques Swinhoe, 1861","Pycnonotidae","65"
"Pluvialis squatarola (Linnaeus, 1758)","Charadriidae","65"
"Ficedula albicilla (Pallas, 1811)","Muscicapidae","64"
"Scolopax rusticola Linnaeus, 1758","Scolopacidae","64"
"Spatula querquedula (Linnaeus, 1758)","Anatidae","63"
"Accipiter nisus (Linnaeus, 1758)","Accipitridae","63"
"Caprimulgus jotaka Temminck & Schlegel, 1845","Caprimulgidae","63"
"Pycnonotus jocosus (Linnaeus, 1758)","Pycnonotidae","62"
"Terpsiphone atrocaudata (Eyton, 1839)","Monarchidae","62"
"Pericrocotus divaricatus (Raffles, 1822)","Campephagidae","62"
"Zosterops simplex simplex","Zosteropidae","61"
"Larus canus Linnaeus, 1758","Laridae","61"
"Calidris acuminata (Horsfield, 1821)","Scolopacidae","61"
"Pericrocotus cantonensis Swinhoe & P.L.Sclater, 1861","Campephagidae","60"
"Accipiter gularis (Temminck & Schlegel, 1844)","Accipitridae","60"
"Suthora webbiana Gould, 1852","Sylviidae","60"
"Anser serrirostris Gould, 1852","Anatidae","59"
"Anser cygnoides (Linnaeus, 1758)","Anatidae","58"
"Eumyias thalassinus (Swainson, 1838)","Muscicapidae","57"
"Chlidonias leucopterus (Temminck, 1815)","Laridae","56"
"Turdus mandarinus mandarinus","Turdidae","55"
"Falco subbuteo Linnaeus, 1758","Falconidae","55"
"Mergus merganser Linnaeus, 1758","Anatidae","55"
"Glareola maldivarum J.R.Forster, 1795","Glareolidae","53"
"Xenus cinereus (Güldenstädt, 1775)","Scolopacidae","53"
"Saundersilarus saundersi (Swinhoe, 1871)","Laridae","53"
"Pycnonotus sinensis sinensis","Pycnonotidae","53"
"Phylloscopus borealoides Portenko, 1950","Phylloscopidae","52"
"Leiothrix lutea (Scopoli, 1786)","Leiothrichidae","52"
"Accipiter soloensis (Horsfield, 1821)","Accipitridae","51"
"Larvivora cyane (Pallas, 1776)","Muscicapidae","50"
"Emberiza rutila Pallas, 1776","Emberizidae","50"
"Calliope calliope (Pallas, 1776)","Muscicapidae","48"
"Geokichla sibirica (Pallas, 1776)","Turdidae","47"
"Streptopelia tranquebarica (Hermann, 1804)","Columbidae","47"
"Lanius tigrinus Drapiez, 1828","Laniidae","47"
"Urosphena squameiceps (Swinhoe, 1863)","Cettiidae","46"
"Egretta eulophotes (Swinhoe, 1860)","Ardeidae","46"
"Larus crassirostris Vieillot, 1818","Laridae","45"
"Gelochelidon nilotica (J.F.Gmelin, 1789)","Laridae","44"
"Cygnus columbianus (Ord, 1815)","Anatidae","44"
"Butastur indicus (Gmelin, 1788)","Accipitridae","44"
"Centropus bengalensis (Gmelin, 1788)","Cuculidae","44"
"Acrocephalus bistrigiceps Swinhoe, 1860","Acrocephalidae","44"
"Lanius sphenocercus Cabanis, 1873","Laniidae","42"
"Calidris subminuta (Middendorff, 1853)","Scolopacidae","42"
"Anthus hodgsoni hodgsoni","Motacillidae","41"
"Apus pacificus (Latham, 1801)","Apodidae","41"
"Alauda arvensis Linnaeus, 1758","Alaudidae","40"
"Aegypius monachus (Linnaeus, 1766)","Accipitridae","39"
"Treron sieboldii (Temminck, 1835)","Columbidae","39"
"Numenius madagascariensis (Linnaeus, 1766)","Scolopacidae","38"
"Pluvialis fulva (J.F.Gmelin, 1789)","Charadriidae","38"
"Luscinia svecica (Linnaeus, 1758)","Muscicapidae","37"
"Charadrius mongolus Pallas, 1776","Charadriidae","37"
"Calidris tenuirostris (Horsfield, 1821)","Scolopacidae","36"
"Charadrius leschenaultii R.Lesson, 1826","Charadriidae","36"
"Dendronanthus indicus (Gmelin, 1789)","Motacillidae","35"
"Phoenicurus frontalis Vigors, 1832","Muscicapidae","35"
"Ceryle rudis (Linnaeus, 1758)","Alcedinidae","34"
"Calcarius lapponicus (Linnaeus, 1758)","Calcariidae","34"
"Sternula albifrons (Pallas, 1764)","Laridae","34"
"Jynx torquilla Linnaeus, 1758","Picidae","33"
"Tadorna tadorna (Linnaeus, 1758)","Anatidae","33"
"Motacilla alba leucopsis (Gould, 1838)","Motacillidae","33"
"Sittiparus varius (Temminck & Schlegel, 1847)","Paridae","32"
"Milvus migrans (Boddaert, 1783)","Accipitridae","32"
