"scientific_name","family","gbif_records"
"Hydrobates monorhis (Swinhoe, 1867)","Hydrobatidae","3"
"Garrulus glandarius sinensis Swinhoe, 1871","Corvidae","3"
"Locustella certhiola (Pallas, 1811)","Locustellidae","3"
"Sterna sumatrana Raffles, 1822","Laridae","3"
"Emberiza aureola Pallas, 1773","Emberizidae","2"
"Macropygia unchall (Wagler, 1827)","Columbidae","2"
"Ardea cinerea jouyi A.H.Clark, 1907","Ardeidae","2"
"Mergus merganser merganser","Anatidae","2"
"Horornis diphone (Kittlitz, 1830)","Cettiidae","2"
"Horornis canturians canturians","Cettiidae","2"
"Zapornia pusilla (Pallas, 1776)","Rallidae","2"
"Muscicapa muttui (E.L.Layard, 1854)","Muscicapidae","2"
"Asio otus otus","Strigidae","2"
"Hirundo rustica gutturalis Scopoli, 1786","Hirundinidae","2"
"Aviceda leuphotes (Dumont, 1820)","Accipitridae","2"
"Anthus novaeseelandiae (Gmelin, 1789)","Motacillidae","2"
"Nymphicus hollandicus (Kerr, 1792)","Psittacidae","2"
"Oenanthe oenanthe (Linnaeus, 1758)","Muscicapidae","2"
"Helopsaltes certhiola (Pallas, 1811)","Locustellidae","2"
"Padda oryzivora (Linnaeus, 1758)","Estrildidae","2"
"Halcyon smyrnensis (Linnaeus, 1758)","Alcedinidae","2"
"Parus ater Linnaeus, 1758","Paridae","2"
"Parus minor commixtus Swinhoe, 1868","Paridae","2"
"Grus Brisson, 1760","Gruidae","2"
"Cettia diphone (Kittlitz, 1830)","Cettiidae","2"
"Pericrocotus solaris griseogularis Gould, 1863","Campephagidae","2"
"Acanthis flammea (Linnaeus, 1758)","Fringillidae","2"
"Gracula religiosa Linnaeus, 1758","Sturnidae","2"
"Phalacrocorax capillatus (Temminck & Schlegel, 1849)","Phalacrocoracidae","2"
"Garrulax perspicillatus (Gmelin, 1789)","Leiothrichidae","2"
"Garrulax canorus canorus","Leiothrichidae","2"
"Anser erythropus (Linnaeus, 1758)","Anatidae","2"
"Phylloscopus castaniceps (Hodgson, 1845)","Phylloscopidae","2"
"Fregata ariel ariel","Fregatidae","2"
"Botaurus stellaris stellaris","Ardeidae","2"
"Bubulcus ibis coromandus (Boddaert, 1783)","Ardeidae","2"
"Falco peregrinus calidus Latham, 1790","Falconidae","2"
"Phylloscopus soror (Alström & Olsson, 1999)","Phylloscopidae","2"
"Phylloscopus xanthodryas (Swinhoe, 1863)","Phylloscopidae","2"
"Pica pica (Linnaeus, 1758)","Corvidae","2"
"Pica pica serica Gould, 1845","Corvidae","2"
"Anarhynchus Quoy & Gaimard, 1832","Charadriidae","2"
"Emberiza spodocephala personata Temminck, 1836","Emberizidae","2"
"Zoothera aurea aurea","Turdidae","2"
"Emberiza personata Temminck, 1836","Emberizidae","2"
"Pyrrhula pyrrhula (Linnaeus, 1758)","Fringillidae","2"
"Emberiza lathami J.E.Gray, 1831","Emberizidae","2"
"Rhopophilus pekinensis (Swinhoe, 1868)","Sylviidae","2"
"Rostratula benghalensis benghalensis","Rostratulidae","2"
"Egretta sacra (Gmelin, 1789)","Ardeidae","2"
"Dicrurus macrocercus cathoecus Swinhoe, 1871","Dicruridae","2"
"Dendrocopos hyperythrus (Vigors, 1831)","Picidae","2"
"Dendrocitta formosae sinica Stresemann, 1913","Corvidae","2"
"Sterna dougallii Montagu, 1813","Laridae","2"
"Cuculus optatus Gould, 1845","Cuculidae","2"
"Corvus dauuricus Pallas, 1776","Corvidae","2"
"Acrocephalus aedon (Pallas, 1776)","Acrocephalidae","2"
"Copsychus saularis saularis","Muscicapidae","2"
"Tringa totanus eurhina (Oberholser, 1900)","Scolopacidae","2"
"Clangula hyemalis (Linnaeus, 1758)","Anatidae","2"
"Cisticola juncidis tinnabulans (Swinhoe, 1859)","Cisticolidae","2"
"Turdus merula Linnaeus, 1758","Turdidae","2"
"Accipiter nisus nisosimilis (Tickell, 1833)","Accipitridae","2"
"Turnix tanki Blyth, 1843","Turnicidae","2"
"Upupa epops saturata Lönnberg, 1909","Upupidae","2"
"Urocissa erythroryncha (Boddaert, 1783)","Corvidae","2"
"Carduelis spinus (Linnaeus, 1758)","Fringillidae","2"
"Carpodacus roseus (Pallas, 1776)","Fringillidae","2"
"Leucogeranus leucogeranus (Pallas, 1773)","Gruidae","2"
"Cairina moschata var. domestica","Anatidae","1"
"Alectoris chukar (J.E.Gray, 1830)","Phasianidae","1"
"Glaucidium cuculoides (Vigors, 1831)","Strigidae","1"
"Pycnonotus F.Boie, 1826","Pycnonotidae","1"
"Capella solitaria (Hodgson, 1831)","Scolopacidae","1"
"Pycnonotus jocosus jocosus","Pycnonotidae","1"
"Emberiza melanocephala Scopoli, 1769","Emberizidae","1"
"Emberiza leucocephalos S.G.Gmelin, 1771","Emberizidae","1"
"Pycnonotus xanthorrhous Anderson, 1869","Pycnonotidae","1"
"Anthropoides virgo (Linnaeus, 1758)","Gruidae","1"
"Zapornia akool coccineipes (H.H.Slater, 1891)","Rallidae","1"
"Ardeola striata (Linnaeus, 1758)","Ardeidae","1"
"Emberiza cia Linnaeus, 1767","Emberizidae","1"
"Calidris canutus canutus","Scolopacidae","1"
"Halcyon chloris (Boddaert, 1783)","Alcedinidae","1"
"Alauda arvensis intermedia Swinhoe, 1863","Alaudidae","1"
"Ardea purpurea manilensis Meyen, 1834","Ardeidae","1"
"Halcyon coromanda major (Temminck & Schlegel, 1848)","Alcedinidae","1"
"Lewinia striata jouyi (Stejneger, 1887)","Rallidae","1"
"Rissa tridactyla pollicaris Ridgway, 1884","Laridae","1"
"Pandion haliaetus haliaetus","Pandionidae","1"
"Tyto longimembris (Jerdon, 1839)","Tytonidae","1"
"Calidris canutus rogersi (Mathews, 1913)","Scolopacidae","1"
"Saxicola ferreus J.E.Gray & G.R.Gray, 1847","Muscicapidae","1"
"Saxicola maurus stejnegeri","Muscicapidae","1"
"Haliaeetus albicilla (Linnaeus, 1758)","Accipitridae","1"
"Egretta sacra sacra","Ardeidae","1"
"Haliastur indus (Boddaert, 1783)","Accipitridae","1"
"Oriolus chinensis diffusus Sharpe, 1877","Oriolidae","1"
"Limosa limosa bohaii Zhu, Piersma, Verkuil & Conklin, 2020","Scolopacidae","1"
"Sitta europaea amurensis Swinhoe, 1871","Sittidae","1"
"Sitta villosa J.Verreaux, 1865","Sittidae","1"
"Egretta intermedia (Wagler, 1829)","Ardeidae","1"
"Larus canus kamtschatschensis Bonaparte, 1857","Laridae","1"
"Dendrocopos major mandarinus (Malherbe, 1857)","Picidae","1"
"Dendrocopos major cabanisi (Malherbe, 1854)","Picidae","1"
"Dendrocopos hyperythrus subrufinus (Cabanis & Heine, 1863)","Picidae","1"
"Leiothrix lutea lutea","Leiothrichidae","1"
"Spilornis cheela (Latham, 1790)","Accipitridae","1"
"Onychoprion fuscatus (Linnaeus, 1766)","Laridae","1"
"Spizixos semitorques semitorques","Pycnonotidae","1"
"Urocissa erythroryncha erythroryncha","Corvidae","1"
"Aegithalos glaucogularis (Gould, 1855)","Aegithalidae","1"
"Numenius phaeopus variegatus (Scopoli, 1786)","Scolopacidae","1"
"Staphida torqueola (Swinhoe, 1870)","Zosteropidae","1"
"Sterna caspia Pallas, 1770","Laridae","1"
"Larus fuscus heuglini Bree, 1876","Laridae","1"
"Sterna hirundo hirundo","Laridae","1"
"Hirundapus cochinchinensis (Oustalet, 1878)","Apodidae","1"
"Niltava davidi La Touche, 1907","Muscicapidae","1"
"Netta rufina (Pallas, 1773)","Anatidae","1"
"Aegithalos caudatus (Linnaeus, 1758)","Aegithalidae","1"
"Muscicapa sibirica sibirica","Muscicapidae","1"
"Cygnus columbianus bewickii Yarrell, 1830","Anatidae","1"
"Streptopelia tranquebarica humilis (Temminck, 1824)","Columbidae","1"
"Anthus rubescens japonicus Temminck & Schlegel, 1847","Motacillidae","1"
"Calidris minuta (Leisler, 1812)","Scolopacidae","1"
"Sturnus vulgaris poltaratskyi Finsch, 1878","Sturnidae","1"
"Muscicapa ferruginea (Hodgson, 1845)","Muscicapidae","1"
"Apus affinis (J.E.Gray, 1830)","Apodidae","1"
"Mergus serrator Linnaeus, 1758","Anatidae","1"
"Acrocephalus tangorum La Touche, 1912","Acrocephalidae","1"
"Hypsipetes leucocephalus leucocephalus","Pycnonotidae","1"
"Curruca curruca (Linnaeus, 1758)","Sylviidae","1"
"Culicicapa ceylonensis calochrysea Oberholser, 1923","Stenostiridae","1"
"Acrocephalus sorghophilus (Swinhoe, 1863)","Acrocephalidae","1"
"Tarsiger cyanurus cyanurus","Muscicapidae","1"
"Cuculus saturatus Blyth, 1843","Cuculidae","1"
"Chloropsis hardwickii Jardine & Selby, 1830","Chloropseidae","1"
"Zapornia fusca (Linnaeus, 1766)","Rallidae","1"
"Melanitta stejnegeri (Ridgway, 1887)","Anatidae","1"
"Tichodroma muraria nepalensis Bonaparte, 1850","Tichodromidae","1"
"Corvus torquatus Lesson, 1831","Corvidae","1"
"Aquila nipalensis Hodgson, 1833","Accipitridae","1"
"Acrocephalus concinens (Swinhoe, 1870)","Acrocephalidae","1"
"Acanthis flammea flammea","Fringillidae","1"
"Corvus corone Linnaeus, 1758","Corvidae","1"
"Vidua paradisaea (Linnaeus, 1758)","Viduidae","1"
"Chloris chloris (Linnaeus, 1758)","Fringillidae","1"
"Acridotheres javanicus Cabanis, 1851","Sturnidae","1"
"Copsychus malabaricus (Scopoli, 1786)","Muscicapidae","1"
"Leucophaeus atricilla (Linnaeus, 1758)","Laridae","1"
"Machlolophus spilonotus (Bonaparte, 1850)","Paridae","1"
"Ichthyaetus relictus (Lönnberg, 1931)","Laridae","1"
"Bulweria bulwerii (Jardine & Selby, 1828)","Procellariidae","1"
"Phylloscopus goodsoni Hartert, 1910","Phylloscopidae","1"
"Loxia curvirostra Linnaeus, 1758","Fringillidae","1"
"Accipiter virgatus (Temminck, 1822)","Accipitridae","1"
"Anous stolidus (Linnaeus, 1758)","Laridae","1"
"Phylloscopus tephrocephalus (Anderson, 1871)","Phylloscopidae","1"
"Ficedula owstoni (Bangs, 1901)","Muscicapidae","1"
"Lophura nycthemera (Linnaeus, 1758)","Phasianidae","1"
"Limosa lapponica baueri J.F.Naumann, 1836","Scolopacidae","1"
"Ardeidae","Ardeidae","1"
"Anas platyrhynchos platyrhynchos","Anatidae","1"
"Falco columbarius pallidus (Sushkin, 1900)","Falconidae","1"
"Eurystomus orientalis cyanocollis Vieillot, 1819","Coraciidae","1"
"Erithacus svecicus (Linnaeus, 1758)","Muscicapidae","1"
"Phylloscopus forresti Rothschild, 1921","Phylloscopidae","1"
"Anas crecca crecca","Anatidae","1"
"Larus vegae mongolicus Sushkin, 1925","Laridae","1"
"Plegadis falcinellus (Linnaeus, 1766)","Threskiornithidae","1"
"Pluvialis dominica fulva (J.F.Gmelin, 1789)","Charadriidae","1"
"Enicurus leschenaulti sinensis Gould, 1866","Muscicapidae","1"
"Phoenicurus fuliginosus Vigors, 1831","Muscicapidae","1"
"Gallus gallus f. domesticus","Phasianidae","1"
"Anarhynchus alexandrinus","Charadriidae","1"
"Phoenicopterus ruber Linnaeus, 1758","Phoenicopteridae","1"
"Poecile hypermelaenus Berezowski & Bianchi, 1891","Paridae","1"
"Phoenicopterus roseus Pallas, 1811","Phoenicopteridae","1"
"Prinia flaviventris (Delessert, 1840)","Cisticolidae","1"
"Lonchura punctulata topela (Swinhoe, 1863)","Estrildidae","1"
"Phasianus colchicus kiangsuensis Buturlin, 1904","Phasianidae","1"
"Larus hyperboreus Gunnerus, 1767","Laridae","1"
"Phalacrocorax carbo sinensis (Blumenbach, 1798)","Phalacrocoracidae","1"
"Pterodroma hypoleuca (Salvin, 1888)","Procellariidae","1"
"Pterorhinus berthemyi (Oustalet, 1876)","Leiothrichidae","1"
